nombre,distrito,precio,rating,checkin,plan
Room Mate Oscar,Centro,428,Fabuloso,2023-06-09,1 dia
Anuncio publicitario,Salamanca,515,Muy bien,2023-06-09,1 dia
Crisol Vía Castellana,Chamartín,170,Muy bien,2023-06-09,1 dia
Zleep Madrid Airport,San Blas,169,Muy bien,2023-06-09,1 dia
Avenida De America Tijcal,Salamanca,139,Fabuloso,2023-06-09,1 dia
Barceló Imagine,Chamartín,202,Fantástico,2023-06-09,1 dia
Riu Plaza España,Centro,429,Fabuloso,2023-06-09,1 dia
Exe Plaza,Otro,175,Muy bien,2023-06-09,1 dia
"Holiday Inn Express - Madrid - Airport, an IHG Hotel",San Blas,179,Fabuloso,2023-06-09,1 dia
NH Madrid Principe de Vergara,Salamanca,239,Muy bien,2023-06-09,1 dia
Eurostars Monte Real,Fuencarral,150,Fabuloso,2023-06-09,1 dia
Novotel Madrid Center,Salamanca,234,Fabuloso,2023-06-09,1 dia
Boutique Urban Madrid Serrano,Salamanca,180,No disponible,2023-06-09,1 dia
Eurostars Suites Mirasierra,Fuencarral,200,Muy bien,2023-06-09,1 dia
Eurostars Madrid Tower,Fuencarral,286,Fabuloso,2023-06-09,1 dia
NH Madrid Las Tablas,Fuencarral,147,Muy bien,2023-06-09,1 dia
AB Design Suites,Centro,205,Bien,2023-06-09,1 dia
"URSO Hotel & Spa, a Small Luxury Hotel of the World",Centro,408,Fantástico,2023-06-09,1 dia
Abalú Boutique & Design Hotel,Centro,208,Bien,2023-06-09,1 dia
AC Hotel Madrid Feria by Marriott,Hortaleza,171,Fabuloso,2023-06-09,1 dia
Abba Madrid,Salamanca,175,Fabuloso,2023-06-09,1 dia
Dormirdcine,Salamanca,235,Muy bien,2023-06-09,1 dia
NH Madrid Ventas,Salamanca,211,Muy bien,2023-06-09,1 dia
NH Paseo de la Habana,Chamartín,184,Bien,2023-06-09,1 dia
UMusic Hotel Madrid,Centro,314,Fabuloso,2023-06-09,1 dia
Sercotel Madrid Aeropuerto,Barajas,178,Muy bien,2023-06-09,1 dia
Zenit Abeba,Salamanca,249,Muy bien,2023-06-09,1 dia
Hotel Opera,Centro,230,Muy bien,2023-06-09,1 dia
Senator Barajas,Barajas,176,Bien,2023-06-09,1 dia
NH Madrid Zurbano,Otro,325,Muy bien,2023-06-09,1 dia
Hotel Chamartin The One,Chamartín,186,Muy bien,2023-06-09,1 dia
Axel Hotel Madrid - Adults Only,Centro,309,Muy bien,2023-06-09,1 dia
NH Madrid Balboa,Salamanca,255,Muy bien,2023-06-09,1 dia
NH Collection Madrid Abascal,Otro,253,Fabuloso,2023-06-09,1 dia
Hotel Life Gran Via,Centro,194,Bien,2023-06-09,1 dia
Exe Moncloa,Moncloa,230,Muy bien,2023-06-09,1 dia
NH Madrid Nacional,Centro,265,Muy bien,2023-06-09,1 dia
Exe Madrid Norte,Hortaleza,155,Muy bien,2023-06-09,1 dia
Ilunion Pio XII,Chamartín,244,Muy bien,2023-06-09,1 dia
AC Hotel Los Vascos by Marriott,Moncloa,214,Muy bien,2023-06-09,1 dia
Ekilibrio Hotel & Apart-Suites,Usera,150,Muy bien,2023-06-09,1 dia
Hotel Madrid Río,Usera,105,Bien,2023-06-09,1 dia
AC Hotel Atocha by Marriott,Arganzuela,297,Fabuloso,2023-06-09,1 dia
Hotel Nuevo Madrid,Ciudad Lineal,180,Muy bien,2023-06-09,1 dia
Exe Suites 33,Centro,175,Muy bien,2023-06-09,1 dia
The Social Hub Madrid,Moncloa,215,Fabuloso,2023-06-09,1 dia
Aparthotel Tribunal,Centro,240,Bien,2023-06-09,1 dia
Catalonia Atocha,Centro,250,Fabuloso,2023-06-09,1 dia
Hotel Puerta America,Chamartín,280,Muy bien,2023-06-09,1 dia
Sercotel Togumar,Chamartín,230,Muy bien,2023-06-09,1 dia
Rafaelhoteles Atocha,Arganzuela,231,Muy bien,2023-06-09,1 dia
Madrid Marriott Auditorium Hotel & Conference Center,San Blas,175,Fabuloso,2023-06-09,1 dia
N1 Casa de Madrid - greenpeace line,Salamanca,119,No disponible,2023-06-09,1 dia
Ibis Styles Madrid City Las Ventas,Ciudad Lineal,172,Fabuloso,2023-06-09,1 dia
Exe Zarzuela Park,Moncloa,248,Muy bien,2023-06-09,1 dia
Agumar,Retiro,220,Muy bien,2023-06-09,1 dia
Petit Palace President Castellana,Salamanca,285,Bien,2023-06-09,1 dia
Hotel Praga,Carabanchel,180,Muy bien,2023-06-09,1 dia
Suites Barrio de Salamanca,Salamanca,250,Muy bien,2023-06-09,1 dia
Room Mate Alicia,Centro,275,Fabuloso,2023-06-09,1 dia
The Social Hub Madrid 4 star,Moncloa,237,Fabuloso,2023-06-09,1 dia
Ilunion Atrium,Ciudad Lineal,244,Fabuloso,2023-06-09,1 dia
Hotel Maydrit Airport,Barajas,230,Fabuloso,2023-06-09,1 dia
Casual del Teatro Madrid,Centro,211,Muy bien,2023-06-09,1 dia
AC Hotel Aitana by Marriott,Chamartín,220,Fabuloso,2023-06-09,1 dia
Eurostars Casa de la Lírica,Centro,250,Muy bien,2023-06-09,1 dia
Hotel Infantas by MIJ,Centro,247,Muy bien,2023-06-09,1 dia
Petit Palace Savoy Alfonso XII,Retiro,310,Fabuloso,2023-06-09,1 dia
"Atocha Hotel Madrid, Tapestry Collection by Hilton",Centro,301,Fantástico,2023-06-09,1 dia
Catalonia Goya,Salamanca,300,Fabuloso,2023-06-09,1 dia
NH Collection Madrid Eurobuilding,Chamartín,254,Fabuloso,2023-06-09,1 dia
Zenit Conde de Orgaz,Hortaleza,164,Muy bien,2023-06-09,1 dia
Gran View Apartments,Centro,339,Fabuloso,2023-06-09,1 dia
Ibis Madrid Aeropuerto Barajas,Barajas,151,Muy bien,2023-06-09,1 dia
Hotel Acta Madfor,Moncloa,322,Muy bien,2023-06-09,1 dia
AC Hotel Carlton Madrid by Marriott,Arganzuela,247,Muy bien,2023-06-09,1 dia
Leonardo Boutique Hotel Madrid,Otro,199,Muy bien,2023-06-09,1 dia
Petit Palace Plaza Mayor,Centro,299,Muy bien,2023-06-09,1 dia
Hotel Nuevo Boston,San Blas,196,Muy bien,2023-06-09,1 dia
Melia Avenida de America,San Blas,270,Fantástico,2023-06-09,1 dia
Hotel Santo Domingo,Centro,265,Bien,2023-06-09,1 dia
Hotel Avenida Gran Vía,Centro,255,Bien,2023-06-09,1 dia
Hotel Cortezo,Centro,200,Muy bien,2023-06-09,1 dia
Canopy by Hilton Madrid Castellana,Otro,251,Fabuloso,2023-06-09,1 dia
Eurostars Plaza Mayor,Centro,247,Muy bien,2023-06-09,1 dia
Petit Palace Lealtad Plaza,Retiro,427,Fabuloso,2023-06-09,1 dia
Melia Castilla,Otro,255,Fabuloso,2023-06-09,1 dia
"Hotel Indigo Madrid - Gran Via, an IHG Hotel",Centro,295,Fabuloso,2023-06-09,1 dia
Petit Palace Plaza España,Centro,309,Muy bien,2023-06-09,1 dia
DoubleTree by Hilton Madrid-Prado,Centro,316,Fabuloso,2023-06-09,1 dia
Ilunion Alcalá Norte,San Blas,299,Fabuloso,2023-06-09,1 dia
Room Mate Mario,Centro,245,Muy bien,2023-06-09,1 dia
Hotel 4C Puerta Europa,Otro,200,Bien,2023-06-09,1 dia
One Shot Recoletos 04,Salamanca,279,Muy bien,2023-06-09,1 dia
"Hotel Madrid Centro, Affiliated by Meliá",Centro,276,Bien,2023-06-09,1 dia
The Pavilions Madrid Hotel,Otro,353,Fabuloso,2023-06-09,1 dia
L&H Gran Vía Selection,Centro,265,Fantástico,2023-06-09,1 dia
Anaco,Centro,180,No disponible,2023-06-09,1 dia
Posada del León de Oro Boutique Hotel,Centro,249,Fantástico,2023-06-09,1 dia
Aspasios Atocha Apartments,Centro,294,Fabuloso,2023-06-09,1 dia
Catalonia Plaza Mayor,Centro,300,Fabuloso,2023-06-09,1 dia
"TÓTEM Madrid, a Small Luxury Hotel of the World",Salamanca,450,Fantástico,2023-06-09,1 dia
AC Hotel Aravaca by Marriott,Moncloa,198,Muy bien,2023-06-09,1 dia
ME Madrid Reina Victoria by Meliá,Centro,310,Muy bien,2023-06-09,1 dia
NH Collection Madrid Suecia,Centro,281,Fabuloso,2023-06-09,1 dia
Only YOU Hotel Atocha,Retiro,309,Fantástico,2023-06-09,1 dia
NH Collection Madrid Colón,Salamanca,348,Muy bien,2023-06-09,1 dia
"Hotel Indigo Madrid - Princesa, an IHG Hotel",Moncloa,320,Muy bien,2023-06-09,1 dia
"Hotel Montera Madrid, Curio Collection By Hilton",Centro,383,Fabuloso,2023-06-09,1 dia
Hotel Freedom,Centro,195,Muy bien,2023-06-09,1 dia
Vincci Vía - 66,Centro,275,Muy bien,2023-06-09,1 dia
AC Hotel Cuzco by Marriott,Otro,242,Fabuloso,2023-06-09,1 dia
ICON Embassy,Salamanca,490,Fabuloso,2023-06-09,1 dia
Hilton Madrid Airport,Barajas,209,Muy bien,2023-06-09,1 dia
Barceló Torre de Madrid,Moncloa,279,Fabuloso,2023-06-09,1 dia
Melia Madrid Princesa,Moncloa,294,Muy bien,2023-06-09,1 dia
"Hotel Villa Real, a member of Preferred Hotels & Resorts",Centro,347,Fabuloso,2023-06-09,1 dia
Eurostars Madrid Gran Vía,Centro,275,Fabuloso,2023-06-09,1 dia
One Shot Fortuny 07,Otro,279,Muy bien,2023-06-09,1 dia
Novotel Madrid City Las Ventas,Ciudad Lineal,178,Fabuloso,2023-06-09,1 dia
"Hotel Madrid Chamartín, Affiliated by Meliá",Chamartín,292,Muy bien,2023-06-09,1 dia
Sercotel Alcalá 611,San Blas,225,Muy bien,2023-06-09,1 dia
Sercotel Gran Hotel Conde Duque,Otro,240,Muy bien,2023-06-09,1 dia
NH Collection Madrid Palacio de Tepa,Centro,359,Fabuloso,2023-06-09,1 dia
Hotel Mirador de Chamartín,Chamartín,180,Muy bien,2023-06-09,1 dia
Regente Hotel,Centro,242,Muy bien,2023-06-09,1 dia
Petit Palace Alcalá,Centro,301,Muy bien,2023-06-09,1 dia
B&B HOTEL Madrid Centro Fuencarral 52,Centro,216,Fabuloso,2023-06-09,1 dia
Hotel Best Osuna,Hortaleza,193,Bien,2023-06-09,1 dia
Petit Palace Santa Bárbara,Centro,360,Fabuloso,2023-06-09,1 dia
Vincci Capitol,Centro,286,Fabuloso,2023-06-09,1 dia
NH Collection Madrid Paseo del Prado,Centro,343,Muy bien,2023-06-09,1 dia
NYX Hotel Madrid by Leonardo Hotels,Otro,239,Muy bien,2023-06-09,1 dia
Wellington Hotel & Spa Madrid,Salamanca,419,Fabuloso,2023-06-09,1 dia
Rafaelhoteles Ventas,Ciudad Lineal,188,Bien,2023-06-09,1 dia
Petit Palace Triball,Centro,299,Fabuloso,2023-06-09,1 dia
Travelodge Torrelaguna,Ciudad Lineal,140,Bien,2023-06-09,1 dia
B&B HOTEL Madrid Aeropuerto T1 T2 T3,San Blas,145,Muy bien,2023-06-09,1 dia
ARTIEM Madrid,Ciudad Lineal,201,Fantástico,2023-06-09,1 dia
